"reconciliation_class","function_name"
"in_both","DATEDIF"
"in_both","DATEVALUE"
"in_both","DAVERAGE"
"in_both","DAY"
"in_both","DAYS"
"in_both","DAYS360"
"in_both","DB"
"in_both","DBCS"
"in_both","DCOUNT"
"in_both","DCOUNTA"
"in_both","DDB"
"in_both","DEC2BIN"
"in_both","DEC2HEX"
"in_both","DEC2OCT"
"in_both","DECIMAL"
"in_both","DEGREES"
"in_both","DELTA"
"in_both","DETECTLANGUAGE"
"in_both","DEVSQ"
"in_both","DGET"
"in_both","DISC"
"in_both","DMAX"
"in_both","DMIN"
"in_both","DOLLAR"
"in_both","DOLLARDE"
"in_both","DOLLARFR"
"in_both","DPRODUCT"
"in_both","DROP"
"in_both","DSTDEV"
"in_both","DSTDEVP"
"in_both","DSUM"
"in_both","DURATION"
"in_both","DVAR"
"in_both","DVARP"
"in_both","EDATE"
"in_both","EFFECT"
"in_both","ENCODEURL"
"in_both","EOMONTH"
"in_both","ERF"
"in_both","ERF.PRECISE"
"in_both","ERFC"
"in_both","ERFC.PRECISE"
"in_both","ERROR.TYPE"
"in_both","EUROCONVERT"
"in_both","EVEN"
"in_both","EXACT"
"in_both","EXP"
"in_both","EXPAND"
"in_both","EXPON.DIST"
"in_both","EXPONDIST"
"in_both","F.DIST"
"in_both","F.DIST.RT"
"in_both","F.INV"
"in_both","F.INV.RT"
"in_both","F.TEST"
"in_both","FACT"
"in_both","FACTDOUBLE"
"in_both","FALSE"
"in_both","FDIST"
"in_both","FILTER"
"in_both","FILTERXML"
"in_both","FIND, FINDB"
"in_both","FINV"
"in_both","FISHER"
"in_both","FISHERINV"
"in_both","FIXED"
"in_both","FLOOR"
"in_both","FLOOR.MATH"
"in_both","FLOOR.PRECISE"
"in_both","FORMULATEXT"
"in_both","FREQUENCY"
"in_both","FTEST"
"in_both","FV"
"in_both","FVSCHEDULE"
"in_both","GAMMA"
"in_both","GAMMA.DIST"
"in_both","GAMMA.INV"
"in_both","GAMMADIST"
"in_both","GAMMAINV"
"in_both","GAMMALN"
"in_both","GAMMALN.PRECISE"
"in_both","GAUSS"
"in_both","GCD"
"in_both","GEOMEAN"
"in_both","GESTEP"
"in_both","GETPIVOTDATA"
"in_both","GROUPBY"
"in_both","GROWTH"
"in_both","HARMEAN"
"in_both","HEX2BIN"
"in_both","HEX2DEC"
"in_both","HEX2OCT"
"in_both","HLOOKUP"
"in_both","HOUR"
"in_both","HSTACK"
"in_both","HYPERLINK"
"in_both","HYPGEOM.DIST"
"in_both","HYPGEOMDIST"
"in_both","IF"
"in_both","IFERROR"
"in_both","IFNA"
"in_both","IFS"
"in_both","IMABS"
"in_both","IMAGE"
"in_both","IMARGUMENT"
"in_both","IMCONJUGATE"
"in_both","IMCOS"
"in_both","IMCOSH"
"in_both","IMCOT"
"in_both","IMCSC"
"in_both","IMCSCH"
"in_both","IMDIV"
"in_both","IMEXP"
"in_both","IMLN"
"in_both","IMLOG10"
"in_both","IMLOG2"
"in_both","IMPOWER"
"in_both","IMPRODUCT"
"in_both","IMREAL"
"in_both","IMSEC"
"in_both","IMSECH"
"in_both","IMSIN"
"in_both","IMSINH"
"in_both","IMSQRT"
"in_both","IMSUB"
"in_both","IMSUM"
"in_both","IMTAN"
"in_both","INDEX"
"in_both","INDIRECT"
"in_both","INFO"
"in_both","INT"
"in_both","INTERCEPT"
"in_both","INTRATE"
"in_both","IPMT"
"in_both","IRR"
"in_both","ISEVEN"
"in_both","ISFORMULA"
"in_both","ISO.CEILING"
"in_both","ISOMITTED"
"in_both","ISOWEEKNUM"
"in_both","ISPMT"
"in_both","JIS"
"in_both","KURT"
"in_both","LAMBDA"
"in_both","LARGE"
"in_both","LCM"
"in_both","LEFT, LEFTB"
"in_both","LEN, LENB"
"in_both","LET"
"in_both","LINEST"
"in_both","LN"
"in_both","LOG"
"in_both","LOG10"
"in_both","LOGEST"
"in_both","LOGINV"
"in_both","LOGNORM.DIST"
"in_both","LOGNORM.INV"
"in_both","LOGNORMDIST"
"in_both","LOOKUP"
"in_both","LOWER"
"in_both","MAKEARRAY"
"in_both","MAP"
"in_both","MATCH"
"in_both","MAX"
"in_both","MAXA"
"in_both","MAXIFS"
"in_both","MDETERM"
"in_both","MDURATION"
"in_both","MEDIAN"
"in_both","MID, MIDB"
"in_both","MIN"
"in_both","MINA"
"in_both","MINIFS"
"in_both","MINUTE"
"in_both","MINVERSE"
"in_both","MIRR"
"in_both","MMULT"
"in_both","MOD"
"in_both","MODE"
"in_both","MODE.MULT"
"in_both","MODE.SNGL"
"in_both","MONTH"
"in_both","MROUND"
"in_both","MULTINOMIAL"
"in_both","MUNIT"
"in_both","N"
"in_both","NA"
"in_both","NEGBINOM.DIST"
"in_both","NEGBINOMDIST"
"in_both","NETWORKDAYS"
"in_both","NETWORKDAYS.INTL"
"in_both","NOMINAL"
"in_both","NORM.DIST"
"in_both","NORM.INV"
"in_both","NORM.S.DIST"
"in_both","NORM.S.INV"
"in_both","NORMDIST"
"in_both","NORMINV"
"in_both","NORMSDIST"
"in_both","NORMSINV"
"in_both","NOT"
"in_both","NOW"
"in_both","NPER"
"in_both","NPV"
"in_both","NUMBERVALUE"
"in_both","OCT2BIN"
"in_both","OCT2DEC"
"in_both","OCT2HEX"
"in_both","ODD"
"in_both","ODDFPRICE"
"in_both","ODDFYIELD"
"in_both","ODDLPRICE"
"in_both","ODDLYIELD"
"in_both","OFFSET"
"in_both","OR"
"in_both","PDURATION"
"in_both","PEARSON"
"in_both","PERCENTILE"
"in_both","PERCENTILE.EXC"
"in_both","PERCENTILE.INC"
"in_both","PERCENTOF"
"in_both","PERCENTRANK"
"in_both","PERCENTRANK.EXC"
"in_both","PERCENTRANK.INC"
"in_both","PERMUT"
"in_both","PERMUTATIONA"
"in_both","PHI"
"in_both","PHONETIC"
"in_both","PI"
"in_both","PIVOTBY"
"in_both","PMT"
"in_both","POISSON"
"in_both","POISSON.DIST"
"in_both","POWER"
"in_both","PPMT"
"in_both","PRICE"
"in_both","PRICEDISC"
"in_both","PRICEMAT"
"in_both","PROB"
"in_both","PRODUCT"
"in_both","PROPER"
"in_both","PV"
"in_both","QUARTILE"
"in_both","QUARTILE.EXC"
"in_both","QUARTILE.INC"
"in_both","QUOTIENT"
"in_both","RADIANS"
"in_both","RAND"
"in_both","RANDARRAY"
"in_both","RANDBETWEEN"
"in_both","RANK"
"in_both","RANK.AVG"
"in_both","RANK.EQ"
"in_both","RATE"
"in_both","RECEIVED"
"in_both","REDUCE"
"in_both","REGEXEXTRACT"
"in_both","REGEXREPLACE"
"in_both","REGEXTEST"
"in_both","REGISTER.ID"
"in_both","REPLACE, REPLACEB"
"in_both","REPT"
"in_both","RIGHT, RIGHTB"
"in_both","ROMAN"
"in_both","ROUND"
"in_both","ROUNDDOWN"
"in_both","ROUNDUP"
"in_both","ROW"
"in_both","ROWS"
"in_both","RRI"
"in_both","RSQ"
"in_both","RTD"
"in_both","SCAN"
"in_both","SEARCH, SEARCHB"
"in_both","SEC"
"in_both","SECH"
"in_both","SECOND"
"in_both","SEQUENCE"
"in_both","SERIESSUM"
"in_both","SHEET"
"in_both","SHEETS"
"in_both","SIGN"
"in_both","SIN"
"in_both","SINH"
"in_both","SKEW"
"in_both","SKEW.P"
"in_both","SLN"
"in_both","SLOPE"
"in_both","SMALL"
"in_both","SORT"
"in_both","SORTBY"
"in_both","SQRT"
"in_both","SQRTPI"
"in_both","STANDARDIZE"
"in_both","STDEV"
"in_both","STDEV.P"
"in_both","STDEV.S"
"in_both","STDEVA"
"in_both","STDEVP"
"in_both","STDEVPA"
"in_both","STEYX"
"in_both","STOCKHISTORY"
"in_both","SUBSTITUTE"
"in_both","SUBTOTAL"
"in_both","SUM"
"in_both","SUMIF"
"in_both","SUMIFS"
"in_both","SUMPRODUCT"
"in_both","SUMSQ"
"in_both","SUMX2MY2"
"in_both","SUMX2PY2"
"in_both","SUMXMY2"
"in_both","SWITCH"
"in_both","SYD"
"in_both","T"
"in_both","T.DIST"
"in_both","T.DIST.2T"
"in_both","T.DIST.RT"
"in_both","T.INV"
"in_both","T.INV.2T"
"in_both","T.TEST"
"in_both","TAKE"
"in_both","TAN"
"in_both","TANH"
"in_both","TBILLEQ"
"in_both","TBILLPRICE"
"in_both","TBILLYIELD"
"in_both","TDIST"
"in_both","TEXT"
"in_both","TEXTAFTER"
"in_both","TEXTBEFORE"
"in_both","TEXTJOIN"
"in_both","TEXTSPLIT"
"in_both","TIME"
"in_both","TIMEVALUE"
"in_both","TINV"
"in_both","TOCOL"
"in_both","TODAY"
"in_both","TOROW"
"in_both","TRANSLATE"
"in_both","TRANSPOSE"
"in_both","TREND"
"in_both","TRIM"
"in_both","TRIMMEAN"
"in_both","TRIMRANGE"
"in_both","TRUE"
"in_both","TRUNC"
"in_both","TTEST"
"in_both","TYPE"
"in_both","UNICHAR"
"in_both","UNICODE"
"in_both","UNIQUE"
"in_both","UPPER"
"in_both","VALUE"
"in_both","VALUETOTEXT"
"in_both","VAR"
"in_both","VAR.P"
"in_both","VAR.S"
"in_both","VARA"
"in_both","VARP"
"in_both","VARPA"
"in_both","VDB"
"in_both","VLOOKUP"
"in_both","VSTACK"
"in_both","WEBSERVICE"
"in_both","WEEKDAY"
"in_both","WEEKNUM"
"in_both","WEIBULL"
"in_both","WEIBULL.DIST"
"in_both","WORKDAY"
"in_both","WORKDAY.INTL"
"in_both","WRAPCOLS"
"in_both","WRAPROWS"
"in_both","XIRR"
"in_both","XLOOKUP"
"in_both","XMATCH"
"in_both","XNPV"
"in_both","XOR"
"in_both","YEAR"
"in_both","YEARFRAC"
"in_both","YIELD"
"in_both","YIELDDISC"
"in_both","YIELDMAT"
"in_both","Z.TEST"
"in_both","ZTEST"
"support_only","BETA.INVn"
"support_only","FORECAST"
"support_only","ISBLANK"
"support_only","ISERR"
"support_only","ISERROR"
"support_only","ISLOGICAL"
"support_only","ISNA"
"support_only","ISNONTEXT"
"support_only","ISNUMBER"
"support_only","ISODD"
"support_only","ISREF"
"support_only","ISTEXT"
