scenario_id,lane,formula,expected_text,notes
W60-IMLN-RE-001,analytic,"ROUND(IMREAL(IMLN(""3+4i"")),9)",1.609437912,"Natural log real component."
W60-IMLN-IM-001,analytic,"ROUND(IMAGINARY(IMLN(""3+4i"")),9)",0.927295218,"Natural log imaginary component."
W60-IMLN-ERR-001,analytic,"IMLN(0)",#NUM!,"Natural log rejects zero."
W60-IMLOG10-RE-001,analytic,"ROUND(IMREAL(IMLOG10(""3+4i"")),9)",0.698970004,"Base-10 log real component."
W60-IMLOG10-IM-001,analytic,"ROUND(IMAGINARY(IMLOG10(""3+4i"")),9)",0.402719196,"Base-10 log imaginary component."
W60-IMLOG2-RE-001,analytic,"ROUND(IMREAL(IMLOG2(""3+4i"")),9)",2.321928095,"Base-2 log real component."
W60-IMLOG2-IM-001,analytic,"ROUND(IMAGINARY(IMLOG2(""3+4i"")),9)",1.337804212,"Base-2 log imaginary component."
W60-IMSIN-RE-001,trig,"ROUND(IMREAL(IMSIN(""3+4i"")),9)",3.853738038,"Sine real component."
W60-IMSIN-IM-001,trig,"ROUND(IMAGINARY(IMSIN(""3+4i"")),9)",-27.016813258,"Sine imaginary component."
W60-IMCOS-RE-001,trig,"ROUND(IMREAL(IMCOS(""3+4i"")),9)",-27.034945603,"Cosine real component."
W60-IMCOS-IM-001,trig,"ROUND(IMAGINARY(IMCOS(""3+4i"")),9)",-3.851153335,"Cosine imaginary component."
W60-IMTAN-RE-001,trig,"ROUND(IMREAL(IMTAN(""3+4i"")),9)",-0.000187346,"Tangent real component."
W60-IMTAN-IM-001,trig,"ROUND(IMAGINARY(IMTAN(""3+4i"")),9)",0.999355987,"Tangent imaginary component."
W60-IMSEC-RE-001,trig,"ROUND(IMREAL(IMSEC(""3+4i"")),9)",-0.036253497,"Secant real component."
W60-IMSEC-IM-001,trig,"ROUND(IMAGINARY(IMSEC(""3+4i"")),9)",0.005164345,"Secant imaginary component."
W60-IMCSC-RE-001,trig,"ROUND(IMREAL(IMCSC(""3+4i"")),9)",0.005174473,"Cosecant real component."
W60-IMCSC-IM-001,trig,"ROUND(IMAGINARY(IMCSC(""3+4i"")),9)",0.03627589,"Cosecant imaginary component."
W60-IMCOT-RE-001,trig,"ROUND(IMREAL(IMCOT(""3+4i"")),9)",-0.000187588,"Cotangent real component."
W60-IMCOT-IM-001,trig,"ROUND(IMAGINARY(IMCOT(""3+4i"")),9)",-1.000644392,"Cotangent imaginary component."
W60-IMSINH-RE-001,hyperbolic,"ROUND(IMREAL(IMSINH(""3+4i"")),9)",-6.548120041,"Hyperbolic sine real component."
W60-IMSINH-IM-001,hyperbolic,"ROUND(IMAGINARY(IMSINH(""3+4i"")),9)",-7.61923172,"Hyperbolic sine imaginary component."
W60-IMCOSH-RE-001,hyperbolic,"ROUND(IMREAL(IMCOSH(""3+4i"")),9)",-6.580663041,"Hyperbolic cosine real component."
W60-IMCOSH-IM-001,hyperbolic,"ROUND(IMAGINARY(IMCOSH(""3+4i"")),9)",-7.581552743,"Hyperbolic cosine imaginary component."
W60-IMSECH-RE-001,hyperbolic,"ROUND(IMREAL(IMSECH(""3+4i"")),9)",-0.065294028,"Hyperbolic secant real component."
W60-IMSECH-IM-001,hyperbolic,"ROUND(IMAGINARY(IMSECH(""3+4i"")),9)",0.07522496,"Hyperbolic secant imaginary component."
W60-IMCSCH-RE-001,hyperbolic,"ROUND(IMREAL(IMCSCH(""3+4i"")),9)",-0.064877471,"Hyperbolic cosecant real component."
W60-IMCSCH-IM-001,hyperbolic,"ROUND(IMAGINARY(IMCSCH(""3+4i"")),9)",0.075489833,"Hyperbolic cosecant imaginary component."
