"source_header_ref","xlcall_category","xlcall_symbol","xlcall_numeric_code","xlcall_flag_kind","xlcall_code_expression","oxfunc_surface_stable_id","oxfunc_canonical_surface_name","oxfunc_match_status","note"
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlDefineBinaryName","12","xlSpecial","(12 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlGetBinaryName","13","xlSpecial","(13 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlGetFmlaInfo","14","xlSpecial","(14 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlGetMouseInfo","15","xlSpecial","(15 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlAsyncReturn","16","xlSpecial","(16 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlEventRegister","17","xlSpecial","(17 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlRunningOnCluster","18","xlSpecial","(18 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlGetInstPtr","19","xlSpecial","(19 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfCount","0","","0","FUNC.COUNT","COUNT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlflowHalt","1","","1","","LOWHALT","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfIsna","2","","2","FUNC.ISNA","ISNA","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlflowGoto","2","","2","","LOWGOTO","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfIserror","3","","3","FUNC.ISERROR","ISERROR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSum","4","","4","FUNC.SUM","SUM","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAverage","5","","5","FUNC.AVERAGE","AVERAGE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMin","6","","6","FUNC.MIN","MIN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMax","7","","7","FUNC.MAX","MAX","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlflowRestart","8","","8","","LOWRESTART","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfRow","8","","8","FUNC.ROW","ROW","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfColumn","9","","9","FUNC.COLUMN","COLUMN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfNa","10","","10","FUNC.NA","NA","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfNpv","11","","11","FUNC.NPV","NPV","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfStdev","12","","12","FUNC.STDEV","STDEV","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDollar","13","","13","FUNC.DOLLAR","DOLLAR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfFixed","14","","14","FUNC.FIXED","FIXED","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSin","15","","15","FUNC.SIN","SIN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfCos","16","","16","FUNC.COS","COS","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlflowPause","16","","16","","LOWPAUSE","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfTan","17","","17","FUNC.TAN","TAN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAtan","18","","18","FUNC.ATAN","ATAN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfPi","19","","19","FUNC.PI","PI","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSqrt","20","","20","FUNC.SQRT","SQRT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfExp","21","","21","FUNC.EXP","EXP","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfLn","22","","22","FUNC.LN","LN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfLog10","23","","23","FUNC.LOG10","LOG10","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAbs","24","","24","FUNC.ABS","ABS","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfInt","25","","25","FUNC.INT","INT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSign","26","","26","FUNC.SIGN","SIGN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfRound","27","","27","FUNC.ROUND","ROUND","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfLookup","28","","28","FUNC.LOOKUP","LOOKUP","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfIndex","29","","29","FUNC.INDEX","INDEX","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfRept","30","","30","FUNC.REPT","REPT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMid","31","","31","","MID","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfLen","32","","32","","LEN","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfValue","33","","33","FUNC.VALUE","VALUE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfTrue","34","","34","FUNC.TRUE","TRUE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfFalse","35","","35","FUNC.FALSE","FALSE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAnd","36","","36","FUNC.AND","AND","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfOr","37","","37","FUNC.OR","OR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfNot","38","","38","FUNC.NOT","NOT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMod","39","","39","FUNC.MOD","MOD","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDcount","40","","40","FUNC.DCOUNT","DCOUNT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDsum","41","","41","FUNC.DSUM","DSUM","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDaverage","42","","42","FUNC.DAVERAGE","DAVERAGE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDmin","43","","43","FUNC.DMIN","DMIN","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDmax","44","","44","FUNC.DMAX","DMAX","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDstdev","45","","45","FUNC.DSTDEV","DSTDEV","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfVar","46","","46","FUNC.VAR","VAR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDvar","47","","47","FUNC.DVAR","DVAR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfText","48","","48","FUNC.TEXT","TEXT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfLinest","49","","49","FUNC.LINEST","LINEST","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfTrend","50","","50","FUNC.TREND","TREND","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfLogest","51","","51","FUNC.LOGEST","LOGEST","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfGrowth","52","","52","FUNC.GROWTH","GROWTH","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfGoto","53","","53","","GOTO","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfHalt","54","","54","","HALT","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfPv","56","","56","FUNC.PV","PV","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfFv","57","","57","FUNC.FV","FV","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfNper","58","","58","FUNC.NPER","NPER","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfPmt","59","","59","FUNC.PMT","PMT","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfRate","60","","60","FUNC.RATE","RATE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMirr","61","","61","FUNC.MIRR","MIRR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfIrr","62","","62","FUNC.IRR","IRR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfRand","63","","63","FUNC.RAND","RAND","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlflowResume","64","","64","","LOWRESUME","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMatch","64","","64","FUNC.MATCH","MATCH","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDate","65","","65","FUNC.DATE","DATE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfTime","66","","66","FUNC.TIME","TIME","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDay","67","","67","FUNC.DAY","DAY","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMonth","68","","68","FUNC.MONTH","MONTH","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfYear","69","","69","FUNC.YEAR","YEAR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfWeekday","70","","70","FUNC.WEEKDAY","WEEKDAY","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfHour","71","","71","FUNC.HOUR","HOUR","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfMinute","72","","72","FUNC.MINUTE","MINUTE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSecond","73","","73","FUNC.SECOND","SECOND","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfNow","74","","74","FUNC.NOW","NOW","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAreas","75","","75","FUNC.AREAS","AREAS","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfRows","76","","76","FUNC.ROWS","ROWS","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfColumns","77","","77","FUNC.COLUMNS","COLUMNS","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfOffset","78","","78","FUNC.OFFSET","OFFSET","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAbsref","79","","79","","ABSREF","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfRelref","80","","80","","RELREF","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfArgument","81","","81","","ARGUMENT","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSearch","82","","82","","SEARCH","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfTranspose","83","","83","FUNC.TRANSPOSE","TRANSPOSE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfError","84","","84","","ERROR","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfStep","85","","85","","STEP","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfType","86","","86","FUNC.TYPE","TYPE","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfEcho","87","","87","","ECHO","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSetName","88","","88","","SETNAME","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfCaller","89","","89","","CALLER","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDeref","90","","90","","DEREF","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfWindows","91","","91","","WINDOWS","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSeries","92","","92","","SERIES","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfDocuments","93","","93","","DOCUMENTS","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfActiveCell","94","","94","","ACTIVECELL","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfSelection","95","","95","","SELECTION","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfResult","96","","96","","RESULT","not_in_current_catalog","No exact current-baseline OxFunc catalog row matched the XLCALL built-in symbol."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAtan2","97","","97","FUNC.ATAN2","ATAN2","matched_current_catalog",""
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","built_in_function","xlfAsin","98","","98","FUNC.ASIN","ASIN","matched_current_catalog",""
