"locale_tag","article_guid","localized_url","discovery_source","status_note"
"hu-HU","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/hu-hu/office/az-excel-f%C3%BCggv%C3%A9nyeinek-bet%C5%B1rendes-list%C3%A1ja-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"id-ID","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/id-id/office/fungsi-excel-menurut-abjad-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"it-IT","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/it-it/office/funzioni-di-excel-in-ordine-alfabetico-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"ja-JP","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/ja-jp/office/excel-%E9%96%A2%E6%95%B0-%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E9%A0%86-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"ko-KR","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/ko-kr/office/excel-%ED%95%A8%EC%88%98-%EC%82%AC%EC%A0%84%EC%88%9C-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"lt-LT","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/lt-lt/office/-excel-funkcijos-pagal-ab%C4%97c%C4%97l%C4%99-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"lv-LV","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/lv-lv/office/excel-funkciju-saraksts-p%C4%93c-alfab%C4%93ta-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"nb-NO","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/nb-no/office/funksjoner-i-excel-alfabetisk-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"nl-NL","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/nl-nl/office/excel-functies-alfabetisch-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"pl-PL","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/pl-pl/office/funkcje-programu-excel-lista-alfabetyczna-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"pt-BR","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/pt-br/office/fun%C3%A7%C3%B5es-do-excel-ordem-alfab%C3%A9tica-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"pt-PT","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/pt-pt/office/fun%C3%A7%C3%B5es-do-excel-por-ordem-alfab%C3%A9tica-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"ro-RO","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/ro-ro/office/func%C8%9Bii-excel-%C3%AEn-ordine-alfabetic%C4%83-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"ru-RU","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/ru-ru/office/%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B8-excel-%D0%BF%D0%BE-%D0%B0%D0%BB%D1%84%D0%B0%D0%B2%D0%B8%D1%82%D1%83-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"sk-SK","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/sk-sk/office/zoznam-funkci%C3%AD-excelu-pod%C4%BEa-abecedy-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"sl-SI","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/sl-si/office/funkcije-v-excelu-po-abecedi-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"sr-Latn-RS","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/sr-latn-rs/office/excel-funkcije-abecednim-redom-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"sv-SE","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/sv-se/office/excel-funktioner-alfabetisk-ordning-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"th-TH","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/th-th/office/%E0%B8%9F%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B9%8C%E0%B8%8A%E0%B8%B1%E0%B8%99%E0%B8%82%E0%B8%AD%E0%B8%87-excel-%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%A5%E0%B8%B3%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%A3-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"tr-TR","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/tr-tr/office/excel-i%C5%9Flevleri-alfabetik-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"uk-UA","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/uk-ua/office/%D1%84%D1%83%D0%BD%D0%BA%D1%86%D1%96%D1%97-excel-%D0%B7%D0%B0-%D0%B0%D0%BB%D1%84%D0%B0%D0%B2%D1%96%D1%82%D0%BE%D0%BC-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"vi-VN","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/vi-vn/office/c%C3%A1c-h%C3%A0m-excel-theo-th%C6%B0%CC%81-t%C6%B0%CC%A3-ba%CC%89ng-ch%C6%B0%CC%83-ca%CC%81i-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"zh-CN","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/zh-cn/office/excel-%E5%87%BD%E6%95%B0-%E6%8C%89%E5%AD%97%E6%AF%8D%E9%A1%BA%E5%BA%8F-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"zh-HK","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/zh-hk/office/excel-%E5%87%BD%E6%95%B8-%E6%8C%89%E5%AD%97%E6%AF%8D%E6%8E%92%E5%BA%8F-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"zh-TW","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/zh-tw/office/excel-%E5%87%BD%E6%95%B8-%E6%8C%89%E5%AD%97%E6%AF%8D%E6%8E%92%E5%BA%8F-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
