"entry_name","entry_kind","execution_owner","provenance_owner","notes"
"DDB","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DGET","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DISC","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DMAX","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DMIN","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DOLLARFR","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DPRODUCT","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DSTDEV","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DSTDEVP","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DSUM","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DVAR","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DVARP","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"EDATE","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"EOMONTH","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"EXPON.DIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"EXPONDIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"F.DIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"F.DIST.RT","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"F.INV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"F.INV.RT","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"FDIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"FIND, FINDB","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"FINV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"FLOOR","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"FLOOR.MATH","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"FLOOR.PRECISE","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"GAMMA.DIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"GAMMA.INV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"GAMMADIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"GAMMAINV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"HLOOKUP","function","W068","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"HOUR","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"HYPGEOM.DIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"HYPGEOMDIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"IFS","function","W068","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"INTRATE","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"ISO.CEILING","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"ISOWEEKNUM","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"KURT","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"LEFT, LEFTB","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"LEN, LENB","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"LOGINV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"LOGNORM.DIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"LOGNORM.INV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"LOGNORMDIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"LOWER","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MDETERM","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MID, MIDB","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MINUTE","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MINVERSE","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MMULT","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MODE","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MONTH","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"MUNIT","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NEGBINOM.DIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NEGBINOMDIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NETWORKDAYS","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NETWORKDAYS.INTL","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORM.DIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORM.INV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORM.S.DIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORM.S.INV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORMDIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORMINV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORMSDIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"NORMSINV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"PERCENTILE","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"PERCENTRANK","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"POISSON","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"POISSON.DIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"PRICEDISC","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"PROPER","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"QUARTILE","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"RECEIVED","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"REPLACE, REPLACEB","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"REPT","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"RIGHT, RIGHTB","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SEARCH, SEARCHB","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SECOND","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SERIESSUM","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SKEW","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SKEW.P","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SLN","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"STEYX","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SUBSTITUTE","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SUMPRODUCT","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SUMX2MY2","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SUMX2PY2","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SUMXMY2","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"SYD","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"T.DIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"T.DIST.2T","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"T.DIST.RT","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"T.INV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"T.INV.2T","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TBILLEQ","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TBILLPRICE","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TBILLYIELD","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TDIST","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TIME","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TINV","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TRIM","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"TRIMMEAN","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"UNICODE","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"UPPER","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"VDB","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"VLOOKUP","function","W068","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"WEEKDAY","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"WEEKNUM","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"WORKDAY","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"WORKDAY.INTL","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"YEAR","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"YEARFRAC","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
