"entry_name","entry_kind","execution_owner","provenance_owner","source_snapshot_entry_name","normalization_status","notes"
"GAMMA.INV","function","W061","W16/W17/W24 lineage","GAMMA.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"GAMMADIST","function","W061","W16/W17/W24 lineage","GAMMADIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"GAMMAINV","function","W061","W16/W17/W24 lineage","GAMMAINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"HEX2BIN","function","W059","W16/W17/W24 lineage","HEX2BIN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"HEX2DEC","function","W059","W16/W17/W24 lineage","HEX2DEC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"HEX2OCT","function","W059","W16/W17/W24 lineage","HEX2OCT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"HLOOKUP","function","W068","W16/W17/W24 lineage","HLOOKUP","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"HOUR","function","W063","W16/W17/W24 lineage","HOUR","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"HYPGEOM.DIST","function","W062","W16/W17/W24 lineage","HYPGEOM.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"HYPGEOMDIST","function","W062","W16/W17/W24 lineage","HYPGEOMDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IFS","function","W068","W16/W17/W24 lineage","IFS","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMABS","function","W060","W16/W17/W24 lineage","IMABS","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMAGINARY","function","W060","W16/W17/W24 lineage","IMAGINARY","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMARGUMENT","function","W060","W16/W17/W24 lineage","IMARGUMENT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMCONJUGATE","function","W060","W16/W17/W24 lineage","IMCONJUGATE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMCOS","function","W060","W16/W17/W24 lineage","IMCOS","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMCOSH","function","W060","W16/W17/W24 lineage","IMCOSH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMCOT","function","W060","W16/W17/W24 lineage","IMCOT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMCSC","function","W060","W16/W17/W24 lineage","IMCSC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMCSCH","function","W060","W16/W17/W24 lineage","IMCSCH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMDIV","function","W060","W16/W17/W24 lineage","IMDIV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMEXP","function","W060","W16/W17/W24 lineage","IMEXP","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMLN","function","W060","W16/W17/W24 lineage","IMLN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMLOG10","function","W060","W16/W17/W24 lineage","IMLOG10","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMLOG2","function","W060","W16/W17/W24 lineage","IMLOG2","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMPOWER","function","W060","W16/W17/W24 lineage","IMPOWER","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMPRODUCT","function","W060","W16/W17/W24 lineage","IMPRODUCT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMREAL","function","W060","W16/W17/W24 lineage","IMREAL","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMSEC","function","W060","W16/W17/W24 lineage","IMSEC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMSECH","function","W060","W16/W17/W24 lineage","IMSECH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMSIN","function","W060","W16/W17/W24 lineage","IMSIN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMSINH","function","W060","W16/W17/W24 lineage","IMSINH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMSQRT","function","W060","W16/W17/W24 lineage","IMSQRT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMSUB","function","W060","W16/W17/W24 lineage","IMSUB","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMSUM","function","W060","W16/W17/W24 lineage","IMSUM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"IMTAN","function","W060","W16/W17/W24 lineage","IMTAN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"INTRATE","function","W064","W16/W17/W24 lineage","INTRATE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"ISO.CEILING","function","W067","W16/W17/W24 lineage","ISO.CEILING","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"ISOWEEKNUM","function","W063","W16/W17/W24 lineage","ISOWEEKNUM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"KURT","function","W062","W16/W17/W24 lineage","KURT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"LEFT","function","W066","W16/W17/W24 lineage","LEFT, LEFTB","split_member","Normalized from grouped first-pass backlog entry in W058."
"LEFTB","function","W066","W16/W17/W24 lineage","LEFT, LEFTB","split_member","Normalized from grouped first-pass backlog entry in W058."
"LEN","function","W066","W16/W17/W24 lineage","LEN, LENB","split_member","Normalized from grouped first-pass backlog entry in W058."
"LENB","function","W066","W16/W17/W24 lineage","LEN, LENB","split_member","Normalized from grouped first-pass backlog entry in W058."
"LOGINV","function","W062","W16/W17/W24 lineage","LOGINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"LOGNORM.DIST","function","W062","W16/W17/W24 lineage","LOGNORM.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"LOGNORM.INV","function","W062","W16/W17/W24 lineage","LOGNORM.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"LOGNORMDIST","function","W062","W16/W17/W24 lineage","LOGNORMDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"LOWER","function","W066","W16/W17/W24 lineage","LOWER","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"MDETERM","function","W067","W16/W17/W24 lineage","MDETERM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"MID","function","W066","W16/W17/W24 lineage","MID, MIDB","split_member","Normalized from grouped first-pass backlog entry in W058."
"MIDB","function","W066","W16/W17/W24 lineage","MID, MIDB","split_member","Normalized from grouped first-pass backlog entry in W058."
"MINUTE","function","W063","W16/W17/W24 lineage","MINUTE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"MINVERSE","function","W067","W16/W17/W24 lineage","MINVERSE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"MMULT","function","W067","W16/W17/W24 lineage","MMULT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"MODE","function","W062","W16/W17/W24 lineage","MODE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"MONTH","function","W063","W16/W17/W24 lineage","MONTH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"MUNIT","function","W067","W16/W17/W24 lineage","MUNIT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NEGBINOM.DIST","function","W062","W16/W17/W24 lineage","NEGBINOM.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NEGBINOMDIST","function","W062","W16/W17/W24 lineage","NEGBINOMDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NETWORKDAYS","function","W063","W16/W17/W24 lineage","NETWORKDAYS","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NETWORKDAYS.INTL","function","W063","W16/W17/W24 lineage","NETWORKDAYS.INTL","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORM.DIST","function","W062","W16/W17/W24 lineage","NORM.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORM.INV","function","W062","W16/W17/W24 lineage","NORM.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORM.S.DIST","function","W062","W16/W17/W24 lineage","NORM.S.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORM.S.INV","function","W062","W16/W17/W24 lineage","NORM.S.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORMDIST","function","W062","W16/W17/W24 lineage","NORMDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORMINV","function","W062","W16/W17/W24 lineage","NORMINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORMSDIST","function","W062","W16/W17/W24 lineage","NORMSDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"NORMSINV","function","W062","W16/W17/W24 lineage","NORMSINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"OCT2BIN","function","W059","W16/W17/W24 lineage","OCT2BIN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"OCT2DEC","function","W059","W16/W17/W24 lineage","OCT2DEC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"OCT2HEX","function","W059","W16/W17/W24 lineage","OCT2HEX","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"PERCENTILE","function","W062","W16/W17/W24 lineage","PERCENTILE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"PERCENTRANK","function","W062","W16/W17/W24 lineage","PERCENTRANK","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"POISSON","function","W062","W16/W17/W24 lineage","POISSON","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"POISSON.DIST","function","W062","W16/W17/W24 lineage","POISSON.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"PRICEDISC","function","W064","W16/W17/W24 lineage","PRICEDISC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"PROPER","function","W066","W16/W17/W24 lineage","PROPER","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"QUARTILE","function","W062","W16/W17/W24 lineage","QUARTILE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"RECEIVED","function","W064","W16/W17/W24 lineage","RECEIVED","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"REPLACE","function","W066","W16/W17/W24 lineage","REPLACE, REPLACEB","split_member","Normalized from grouped first-pass backlog entry in W058."
"REPLACEB","function","W066","W16/W17/W24 lineage","REPLACE, REPLACEB","split_member","Normalized from grouped first-pass backlog entry in W058."
"REPT","function","W066","W16/W17/W24 lineage","REPT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"RIGHT","function","W066","W16/W17/W24 lineage","RIGHT, RIGHTB","split_member","Normalized from grouped first-pass backlog entry in W058."
"RIGHTB","function","W066","W16/W17/W24 lineage","RIGHT, RIGHTB","split_member","Normalized from grouped first-pass backlog entry in W058."
"SEARCH","function","W066","W16/W17/W24 lineage","SEARCH, SEARCHB","split_member","Normalized from grouped first-pass backlog entry in W058."
"SEARCHB","function","W066","W16/W17/W24 lineage","SEARCH, SEARCHB","split_member","Normalized from grouped first-pass backlog entry in W058."
"SECOND","function","W063","W16/W17/W24 lineage","SECOND","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SERIESSUM","function","W067","W16/W17/W24 lineage","SERIESSUM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SKEW","function","W062","W16/W17/W24 lineage","SKEW","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SKEW.P","function","W062","W16/W17/W24 lineage","SKEW.P","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SLN","function","W064","W16/W17/W24 lineage","SLN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"STEYX","function","W062","W16/W17/W24 lineage","STEYX","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SUBSTITUTE","function","W066","W16/W17/W24 lineage","SUBSTITUTE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SUMPRODUCT","function","W067","W16/W17/W24 lineage","SUMPRODUCT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SUMX2MY2","function","W067","W16/W17/W24 lineage","SUMX2MY2","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SUMX2PY2","function","W067","W16/W17/W24 lineage","SUMX2PY2","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SUMXMY2","function","W067","W16/W17/W24 lineage","SUMXMY2","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"SYD","function","W064","W16/W17/W24 lineage","SYD","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"T.DIST","function","W062","W16/W17/W24 lineage","T.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"T.DIST.2T","function","W062","W16/W17/W24 lineage","T.DIST.2T","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"T.DIST.RT","function","W062","W16/W17/W24 lineage","T.DIST.RT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"T.INV","function","W062","W16/W17/W24 lineage","T.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"T.INV.2T","function","W062","W16/W17/W24 lineage","T.INV.2T","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TBILLEQ","function","W064","W16/W17/W24 lineage","TBILLEQ","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TBILLPRICE","function","W064","W16/W17/W24 lineage","TBILLPRICE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TBILLYIELD","function","W064","W16/W17/W24 lineage","TBILLYIELD","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TDIST","function","W062","W16/W17/W24 lineage","TDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TIME","function","W063","W16/W17/W24 lineage","TIME","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TINV","function","W062","W16/W17/W24 lineage","TINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TRIM","function","W066","W16/W17/W24 lineage","TRIM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"TRIMMEAN","function","W062","W16/W17/W24 lineage","TRIMMEAN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"UNICODE","function","W066","W16/W17/W24 lineage","UNICODE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"UPPER","function","W066","W16/W17/W24 lineage","UPPER","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"VDB","function","W064","W16/W17/W24 lineage","VDB","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"VLOOKUP","function","W068","W16/W17/W24 lineage","VLOOKUP","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"WEEKDAY","function","W063","W16/W17/W24 lineage","WEEKDAY","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"WEEKNUM","function","W063","W16/W17/W24 lineage","WEEKNUM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"WORKDAY","function","W063","W16/W17/W24 lineage","WORKDAY","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"WORKDAY.INTL","function","W063","W16/W17/W24 lineage","WORKDAY.INTL","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"YEAR","function","W063","W16/W17/W24 lineage","YEAR","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"YEARFRAC","function","W063","W16/W17/W24 lineage","YEARFRAC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
